Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
ERMN,ermin,57471,"JN, KIAA1189",2,2q24.1,Q8TAM6,610072,"The protein encoded by the ERMN gene plays a role in cytoskeletal rearrangements during the late wrapping and/or compaction phases of myelinogenesis as well as in maintenance and stability of myelin sheath in the adult. It may also play an important role in late-stage oligodendroglia maturation, myelin/Ranvier node formation during CNS development, and in the maintenance and plasticity of related structures in the mature CNS.",Rare single gene variant,"Analysis of methylation changes in blood DNA from 53 male ASD patients and 757 healthy controls found that hypomethylation caused by rare genetic variants (meSNVs) at six loci significantly associated with ASD (q-value <0.05); among the meSNVs identified was a differentially methylated CpG (DMCpG) at the GALNT5-ERMN locus in two ASD cases, one of whom displayed ERMN overexpression (Homs et al., 2016). Resequencing of top candidate genes in additional ASD cases and reanalysis of 931 previously reported ASD exomes available from dbGAP identified a significant increase in the mutation load of ERMN in ASD cases compared to controls (P=0.046), which became more significant if population-specific variants were excluded (P=7.97E-05).",1,0,,0,,27404287,,,
ESR1,estrogen receptor 1,2099,ER; ESR; Era; ESRA; NR3A1,6,6q25.1-q25.2,P03372,133430,"Estrogen and its receptors are essential for sexual development and reproductive function, but also play a role in other tissues.",Syndromic,"Genetic association has been found between the ESR1 gene and both autism and Asperger syndrome (Chakrabarti et al., 2009).",11,2,"23867117,29526366",1,26930261,19598235,10600740,"17046690,18187655,19539635,19707539,19710308",36702863
ESR2,estrogen receptor 2 (ER beta),2100,Erb; ESRB; ESTRB; NR3A2; ER-BETA; ESR-BETA,14,14q23.2-q23.3,Q92731,601663,This gene encodes a member of the family of estrogen receptors,Syndromic,"Genetic association has been found between the ESR2 gene and both autism and Asperger syndrome (Chakrabarti et al., 2009).",9,1,29526366,0,,19598235,"10600740,11799247,12774124","18187655,19559077","23275889,31398340"
ESRRB,estrogen-related receptor beta,2103,"DFNB35, ERR2, ERRb, ERRbeta, ERRbeta-2, ESRL2, NR3B2",14,14q24.3,O95718,602167,"steroid hormone receptor, transcription factor",Genetic Association,"Genetic association has been found between the ESRRB gene and autism in two large cohorts (AGRE and ACC) of European ancestry and replicated in two other cohorts (CAP and CART) (Wang et al., 2009).",9,1,22935194,0,,19404256,9344655,"18179891,18555785,18957414","23275889,35190550,35982159"
ETFB,"Electron-transfer-flavoprotein, beta polypeptide",2109,"FP585, MADD",19,19q13.41,P38117,130410,"This gene encodes electron-transfer-flavoprotein, beta polypeptide, which shuttles electrons between primary flavoprotein dehydrogenases involved in mitochondrial fatty acid and amino acid catabolism and the membrane-bound electron transfer flavoprotein ubiquinone oxidoreductase. Deficiencies in this gene have been implicated in glutaric aciduria 2B (GA2B) [MIM:231680].",Rare single gene variant,"This gene was identified in an ASD whole-exome sequencing study and subsequent TADA (transmission and de novo association) analysis as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (De Rubeis et al., 2014).",5,0,,0,,22495309,,25363760,"28714951,31452935,35982159"
EXOC3,exocyst complex component 3,11336,"SEC6, SEC6L1, Sec6p",5,5p15.33,O60645,608186,"The protein encoded by this gene is a component of the exocyst complex, a multiple protein complex essential for targeting exocytic vesicles to specific docking sites on the plasma membrane.",Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module; sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism (Li et al., 2014).",3,0,,0,,25549968,,,"35205252,35982159"
EXOC5,exocyst complex component 5,10640,"HSEC10, PRO1912, SEC10, SEC10L1, SEC10P",14,14q22.3,O00471,604469,"The protein encoded by this gene is a component of the exocyst complex, a multiple protein complex essential for targeting exocytic vesicles to specific docking sites on the plasma membrane.",Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module; sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism (Li et al., 2014).",2,0,,0,,25549968,,,25363760
EXOC6,exocyst complex component 6,54536,"RP11-348J12.4A, SEC15, SEC15L, SEC15L1, SEC15L3, Sec15p, EXOC6",10,10q23.33,Q8TAG9,609672,The product of this gene belongs to the SEC15 family. This protein is essential for vesicular traffic from the Golgi apparatus to the cell surface in yeast. It is one of the components of a multiprotein complex required for exocytosis.,Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module. Sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism; this finding was further validated by exome sequencing of an independent cohort of 505 ASD cases and 491 controls (Li et al., 2014).",3,0,,0,,25549968,,,"35190550,35982159"
EXOC6B,exocyst complex component 6B,23233,"SEC15B, SEC15L2",2,2p13.2,Q9Y2D4,607880,Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.,Rare single gene variant,"The EXOC6B gene was found to be disrupted by a de novo balanced translocation t(2;8)(p13.2;q22.1) in a female patient with a severe clinical phenotype including intellectual disability, epilepsy, behavioral features resembling autism, and minor dysmorphic features (Fruhmesser et al., 2013).",5,0,,0,,23422942,,,"23837398,27862604,31398340,35982159"
EXT1,Exostosin 1,2131,"EXT, LGCR, LGS, TRPS2, TTV",8,8q24.11,Q16394,608177,"This gene encodes an endoplasmic reticulum-resident type II transmembrane glycosyltransferase involved in the chain elongation step of heparan sulfate biosynthesis. Appears to be a tumor suppressor. Mutations in this gene are responsible for multiple hereditary exostoses (an autosomal dominant disorder characterized by multiple projections of bone capped by cartilage), trichorhinophalangeal syndrome type II, and possibly chondrosarcoma.",Rare single gene variant,"Deletion mutations in the EXT1 gene were detected in two boys from separate families presenting with hereditary multiple exostoses and autism associated with mental retardation (Li et al., 2002). Inactivation of the EXT1 gene in mice resulted in impairments in social interaction, expression of stereotyped, repetitive behavior, and impairments in ultrasonic vocalization, as well as some associated features (Irie et al., 2012).",7,1,28540026,0,,12032595,9756849,22411800,"25363760,28867142,35982159"
F13A1,"coagulation factor XIII, A1 polypeptide",2162,"RP11-232H4.1, F13A",6,6p25.1,P00488,134570,The encoded protein has protein-glutamine gamma-glutamyltransferase activity. I t participates in blood coagulation cascade.,Functional,"Differential expression of the F13A1 gene has been shown to occur in some autistic individuals (Hu et al., 2006).",8,1,28472652,0,,16709250,8922891,1652556,"23375656,24410847,31771860,35982159"
FABP3,"Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)",2170,"FABP11, H-FABP, M-FABP, MDGI, O-FABP",1,1p35.2,P05413,134651,FABPs are thought to play a role in the intracellular transport of long-chain fatty acids and their acyl-CoA esters.,Functional/rare single gene variant,"Fabp3-deficient mice exhibited decreased performance in social motivation and novelty seeking compared to wild-type mice (Shimamoto et al., 2014).",2,0,,0,,25027319,,,30341178
FABP4,fatty acid binding protein 4,2167,"A-FABP, AFABP, ALBP, HEL-S-104, aP2",8,8q21.13,P15090,600434,"FABP4 encodes the fatty acid binding protein found in adipocytes. Fatty acid binding proteins are a family of small, highly conserved, cytoplasmic proteins that bind long-chain fatty acids and other hydrophobic ligands. It is thought that FABPs roles include fatty acid uptake, transport, and metabolism.",Rare single gene variant,"Investigation of adipose tissue development as a pathophysiological marker of autism spectrum disorder by examining the serum levels of adipokines and other metabolic markers in 123 Japanese children with ASD and 92 typically developing Japanese children in Maekawa et al., 2020 found that FABP4 protein levels were significantly lower in ASD children than in typically developing subjects at preschool age (4-6 years old, 21 ASD cases and 26 typically developing controls).  Furthermore, resequencing the exons of the FABP4 gene in a Japanese cohort comprising 659 ASD cases and 1000 control samples in this report led to the identification of two rare functional variants in the ASD group, including a nonsense variant transmitted to the proband from a mother with a history of depression, while disruption of the Fabp4 gene in mice evoked ASD-like behavioral phenotypes and increased spine density on apical dendrites of pyramidal neurons, which has been observed in post-mortem brains from ASD subjects.  A rare de novo missense variant in the FABP4 gene had previously been identifed in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014).",3,0,,0,,33225276,,,"25363768,35982159"
FABP5,fatty acid binding protein 5 (psoriasis-associated),2171,EFABP; E-FABP; PAFABP; PA-FABP; FABP5,8,8q21.13,Q01469,605168,The encoded protein binds long-chain fatty acids and other hydrophobic ligands,"Rare Single Gene variant, Genetic Association","Some rare and some common variants in the FABP5 gene were found in autistic patients. However, none were found to have significant genetic association with autism (Maekawa et al., 2010).",8,0,,0,,20057506,"10856918,1512466","19307565,20014382","25027319,31398340,35982159"
FABP7,"fatty acid binding protein 7, brain",2173,MRG; BLBP; FABPB; B-FABP,6,6q22.31,O15540,602965,The encoded protein binds long-chain fatty acids and other hydrophobic ligands,Genetic Association,"Some rare and some common variants in the FABP7 gene were found in autistic patients. However, none were found to have significant genetic association with autism (Maekawa et al., 2010). In a separate study, genetic association was found, however, between the FABP7 gene and bipolar disorder in the Japanese population (Iwayama et al., 2010).",7,0,,0,,20057506,"11133151,8161459","19307565,19540848,19554614",25027319
